# count	conf	archetype	colorL	name
96	high	crystal-medium	57	Finland - Cara Plus 150
94	low	base-pale	0	Raisins (dried)
94	high	crystal-light	13.6	Weyermann - CARABELGE
91	high	wheat-malt	2.8	American - White Wheat 
91	high	munich-dark	10	Weyermann - Munich Dark 
91	high	dextrine	2.2	Weyermann - Carafoam
91	high	crystal-medium	57	Weyermann - Caramunich Type 3
91	high	crystal-medium	35	Weyermann - Caramunich Type 1
90	high	maris-otter	2	Crisp Malting - Extra Pale Maris Otter
89	high	crystal-medium	38	Finland - Cara Plus 100
89	high	flaked-oats	7	Simpsons - Golden Naked Oats
89	high	acidulated	2.8	Bestmalz - BEST Acidulated
89	high	maris-otter	2.1	Thomas Fawcett - Maris Otter
87	high	crystal-light	26.9	Weyermann - CaraAmber
87	high	wheat-malt	279.2	New Zealand - Roasted Wheat
87	high	wheat-malt	1.6	BSG - Flaked White Wheat
87	high	pilsner	2	Maltear - Pilsener
86	high	vienna	3.9	Vienna Malt
86	high	crystal-dark	94	Finland - Crystal Malt 250
86	high	roasted-barley	432.3	Weyermann - Roasted Barley
85	high	victory-amber	27.7	Victory Malt
85	high	chocolate-malt	383.8	Crisp Malting - Chocolate Malt
85	high	black-malt	600	Crisp Malting - Black
81	high	maris-otter	2.4	Simpsons - Finest Pale Ale Golden Promise
79	high	dextrine	2	CaraPils
77	high	pilsner	1.7	Avangard - Pilsner
77	high	crystal-medium	60.6	Castle Malting - Château Crystal
77	low	base-pale	3	Crisp Malting - Best Ale
76	high	crystal-light	18.6	Caramel/Crystal Malt - 20L
76	high	crystal-dark	120	Crisp Malting - Crystal Extra Dark - 120L
75	high	crystal-medium	35.7	Weyermann - CaraAroma
75	high	maris-otter	2.6	Simpsons - Finest Pale Ale Maris Otter
74	high	pilsner	1.8	Castle Malting Pilsen 2RP/2RS
73	high	crystal-dark	79.8	Caramel/Crystal Malt - 80L
73	high	pilsner	2	Gladfield - German Pilsner Malt
73	high	extract	30	Briess - LME Traditional Dark
72	high	maris-otter	2.6	Thomas Fawcett - Maris Otter Pale Ale Malt
71	medium	munich-dark	14	Finland - Dark Ale

# --- LOW/MEDIUM confidence within top 400 (eyeball these) ---
2189	medium	brown-malt	65	United Kingdom - Brown
1808	medium	amber-malt	27	United Kingdom - Amber
1462	medium	sugar	0	Belgian Candi Sugar - Clear/Blond (0L)
937	medium	munich-light	12	German - Red X
700	low	base-pale	1.4	United Kingdom - Lager
686	low	chocolate-malt	150	United Kingdom - Coffee Malt
598	medium	dark-candi-syrup	60	Belgian Candi Sugar - Amber/Brown (60L)
595	medium	melanoidin	17	German - Abbey Malt
494	low	base-pale	2	German - Spelt Malt
477	medium	dark-candi-syrup	275	Belgian Candi Sugar - Dark (275L)
458	medium	dark-candi-syrup	180	Candi Syrup - Belgian Candi Syrup - D-180
442	low	base-pale	1.4	Briess - Barley, Flaked
357	medium	dark-candi-syrup	90	Candi Syrup - Belgian Candi Syrup - D-90
340	medium	sugar	0	Belgian Candi Sugar - Clear/Blond
297	medium	sugar	0	Candi Syrup - Belgian Candi Syrup - Clear (0L)
270	medium	dark-candi-syrup	80	Candi Syrup - Belgian Candi Syrup - Dark (80L)
266	medium	brown-malt	65	Crisp Malting - Brown Malt
256	low	base-pale	3.5	Canadian - ESB Malt
255	low	base-pale	5.1	New Zealand - Gladiator Malt
244	low	base-pale	5.3	New Zealand - Toffee Malt
233	medium	dark-candi-syrup	45	Candi Syrup - Belgian Candi Syrup - D-45
